,Unnamed: 0,rank_order,rank,name,scores_overall,scores_overall_rank,scores_resources,scores_resources_rank,scores_engagement,scores_engagement_rank,scores_outcomes,scores_outcomes_rank,scores_environment,scores_environment_rank,nid,location,stats_fees_oos,stats_board,stats_salary,Chemical Engineering,Architecture,Psychology,General Engineering,Sociology,Electrical & Electronic Engineering,"Geology, Environmental, Earth & Marine Sciences",Computer Science,Chemistry,Accounting & Finance,"Art, Performing Arts & Design",Biological Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Agriculture & Forestry,Law,"Languages, Literature & Linguistics",Communication & Media Studies,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Geography,"History, Philosophy & Theology",Mathematics & Statistics,Business & Management,Other Health,Archaeology,Education,Veterinary Science,Sport Science,latitude,longitude
558,558,559,501-600,University of North Carolina at Asheville,43.3-46.6,559,-,490,15.8,387,-,557,-,623,593825,North Carolina,"$23,868","$9,106","$34,400",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,35.6164875,-82.5665082
559,559,560,501-600,University of North Carolina at Charlotte,43.3-46.6,560,-,602,15.8,388,-,478,6.4,195,593828,North Carolina,"$20,266","$12,408","$42,733",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,35.306230299999996,-80.73449136
560,560,561,501-600,University of North Carolina at Greensboro,43.3-46.6,561,-,596,16.7,148,-,653,6.6,177,131588,North Carolina,"$22,409","$10,183","$36,367",0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,36.0692151,-79.80978809999999
561,561,562,501-600,North Central College,43.3-46.6,562,-,514,16.3,240,-,501,-,605,592409,Illinois,"$37,749","$10,650","$46,067",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,41.77421435,-88.14562485
562,562,563,501-600,Northeastern State University,43.3-46.6,563,-,674,16.2,263,-,502,7.3,104,594041,Oklahoma,"$14,022","$7,764","$35,300",0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,35.92390985,-94.96819787
563,563,564,501-600,Northern Arizona University,43.3-46.6,564,-,695,16.6,170,-,503,5.9,259,589172,Arizona,"$16,998","$9,944","$39,500",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,35.18510870000001,-111.655837
564,564,565,501-600,University of Northern Iowa,43.3-46.6,565,-,630,17.1,72,17.3,370,-,688,592604,Iowa,"$19,241","$8,781","$43,133",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,42.51409905,-92.4629133
565,565,566,501-600,Northwestern College,43.3-46.6,566,-,437,15.8,390,-,536,-,787,595214,Iowa,"$30,200","$9,000","$37,733",0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,42.998870399999994,-96.05432154
566,566,567,501-600,Norwich University,43.3-46.6,567,-,472,-,708,-,530,-,696,594776,Vermont,"$38,662","$13,372","$49,667",0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,44.13917905,-72.66126955
567,567,568,501-600,Old Dominion University,43.3-46.6,568,-,570,-,460,-,587,6.9,140,847,Virginia,"$27,900","$11,268","$42,933",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,36.886269899999995,-76.30972479
