name,latitude,longitude
Ithaca College,42.4195902,-76.49849198
Lewis & Clark College,45.448433,-122.6698744
Mercer University,32.831806,-83.6499029
Pratt Institute,40.69133825,-73.96301633
University of Kansas,38.958058,-95.2477503
University of Oregon,44.04455155,-123.071736
Southern Illinois University Carbondale,37.7079717,-89.2229983
Westminster College (Utah),40.7312521,-111.8555636
Cornell College,41.9253978,-91.42398553
University of Dayton,39.73845985,-84.17919478
College of Saint Benedict,45.5619144,-94.3198793
Florida Institute of Technology,28.0642296,-80.62300972
New Jersey Institute of Technology,40.7423025,-74.17928172
Saint Joseph's University,39.99652965,-75.24151167
University of Wyoming,41.3144774,-105.5643229
Auburn University,32.591963,-85.49598607
Oklahoma City University,35.49631525,-97.54122412
University of California,38.5382322,-121.7617125
Rutgers University-Newark,40.74296,-74.17219258
Albion College,42.2437255,-84.74290095
Thomas Jefferson University,39.9489114,-75.15805656
Saint John's University,45.5807337,-94.3922495
University of Alabama at Birmingham,33.5016153,-86.80604756
Luther College,43.31106299999999,-91.8062533
Molloy College,40.6862712,-73.62711908
Saint Anselm College,42.98355765,-71.50775002
University of Hawai’i at Mānoa,21.2982795,-157.8186923
Hope College,42.7867245,-86.09964267
Quinnipiac University,41.41860555,-72.89372645
Valparaiso University,41.4629448,-87.0446489
Bard College,42.0225482,-73.91072422
Rollins College,28.5925001,-81.3489577
Manhattan College,40.8884586,-73.9027844
The College of New Jersey,40.26855155,-74.77797683
New York Institute of Technology,40.8114746,-73.6062057
Earlham College,39.8204275,-84.91323124
Hampshire College,42.32577005,-72.53223877
San Diego State University,32.7761529,-117.0733037
The University of Tennessee-Knoxville,35.9516352,-83.93088188
Duquesne University,40.43814605,-79.99213564
Hampden-Sydney College,37.24316945,-78.45863589
Whittier College,33.97784155,-118.0302221
"University of Nevada, Reno",39.54425325,-119.8163174
Rutgers University-Camden,39.94836125,-75.12269863
University of South Florida (Tampa),28.0599999,-82.41383619
Augustana College (Illinois),41.50275805,-90.55059793
James Madison University,38.4364404,-78.86896481
MCPHS University,43.0374605,-71.44783922
Austin College,33.64713745,-96.59793447
"University of Maryland, Baltimore County",39.2556759,-76.7109674
University of Vermont,44.4776649,-73.18351439
"Embry-Riddle Aeronautical University, Prescott",34.61469915,-112.4525447
Moravian College,40.6308969,-75.38352724
Elizabethtown College,40.14929875,-76.59002847
Iowa State University,42.02791015,-93.64464415
San Jose State University,37.33519025,-121.8812255
Western New England University,42.1125825,-72.51478135
Suffolk University,42.37251045,-71.03068356
CUNY Queens College,40.7366437,-73.8200894
Oregon State University,44.56305595,-123.2839236
Pace University-New York,40.7110272,-74.0047244
Louisiana State University,30.40576185,-91.1859745
Siena College,42.71941195,-73.7511765
Illinois State University,40.51799375,-89.00846071
University of Washington-Bothell,47.7595071,-122.1910022
Concordia College at Moorhead,46.862419,-96.76942575
Eastern Mennonite University,38.47216285,-78.87794515
SUNY College of Environmental Science and Forestry,43.0345102,-76.1366182
Wayne State University,42.3593595,-83.07160552
University of St Thomas (Minnesota),44.9420603,-93.189582
Xavier University,39.1513078,-84.47083471
University of Evansville,37.9717309,-87.53168718
John Carroll University,41.4905654,-81.5286149
University of St Thomas (Texas),29.73682445,-95.3941473
Hanover College,38.7141725,-85.4610948
Mount Saint Mary's University,39.6807074,-77.34679821
St John Fisher College,43.11502265,-77.51039894
University of Central Florida,28.59899755,-81.19712501
La Salle University,40.0374695,-75.15401786
University of Mississippi,34.3646125,-89.53963491
Rowan University,39.7103526,-75.11932666
University of Texas at Dallas,32.9875855,-96.74976928
Wagner College,40.61517525,-74.0937539
Albany College of Pharmacy and Health Sciences,42.65202585,-73.77861219
Dominican University (Illinois),41.90304145,-87.82264047
"California State University, Long Beach",33.7817687,-118.1151997
Coe College,41.9887318,-91.6580637
Rider University,40.28155125,-74.74044674
Union University,35.67712415,-88.86094998
Azusa Pacific University,34.1304588,-117.8879645
